source_id,market,category,title_or_identifier,variables,observation_unit,evidence_grade,directness,redistributability
nepia_width_change_release,Japan,manufacturer field change and survey,Nepia eco renewal 2024-03-26,"width before/after;roll length;ply;material;acceptance percentage;survey n","three renewed products plus pooled prior user survey",A2,WIDTH_CHANGE_ACCEPTANCE_NOT_CONSUMPTION,"Copyrighted manufacturer release; cite extracted facts and URL; do not redistribute snapshot"
nepia_product_design_width,Japan,manufacturer environmental/logistics calculation,Nepia product-design environmental data,"width before/after;calculated product-volume reduction;company-estimated logistics/CO2 effects","manufacturer product changes and shipment-based calculations",A2,LOGISTICS_CALCULATION_NOT_CONSUMPTION,"Copyrighted manufacturer report; cite extracted facts and URL; do not redistribute snapshot"
katrin_169505,Continental Europe,product and logistics specification,Katrin 169505,"sheet length;sheet width;sheet count;roll length;roll diameter;core diameter;ply;pack dimensions;gross weight;rolls/pack;transport/pallet units;compatible dispensers","one manufacturer product SKU across listed European markets",A1,DIMENSIONAL_AND_COMPATIBILITY_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
katrin_104834,Continental Europe,technical specification,Katrin 104834,"sheet length;sheet width;sheet count;roll length;roll diameter;core diameter;ply;pack dimensions;gross weight;rolls/pack","one manufacturer product SKU",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer technical sheet; cite extracted facts and URL; do not redistribute snapshot"
quilton_standard,Australia,product specification,Quilton Premium 3 Ply,"ply;sheet count/pack variants;product description","one manufacturer product family",A1,DIMENSIONAL_OBSERVATION_ONLY,"Copyrighted manufacturer page; cite extracted facts and URL; do not redistribute snapshot"
quilton_kingsize,Australia,product and compatibility specification,Quilton King Size,"relative sheet-area claim;ply;holder compatibility;pack variants","one manufacturer product family",A2,RELATIVE_SIZE_AND_COMPATIBILITY_ONLY,"Copyrighted manufacturer page; cite claim with manufacturer attribution; do not redistribute snapshot"
quilton_double_length,Australia,failed product-page lead,Quilton Double Length attempted URL,"none from valid record; HTTP 404","failed lead",D,NO_USABLE_EVIDENCE,"HTTP-404 page; retain for provenance but do not use as evidence"
quilton_faq,Australia,manufacturer FAQ,Quilton FAQ,"regular/double/triple length categories;regular sheet count;roll-diameter/pallet-packing explanation","manufacturer product family statements",A2,PACKING_CONTEXT_NOT_CONSUMPTION,"Copyrighted manufacturer FAQ; cite extracted facts and URL; do not redistribute snapshot"
us_dla_aa59594a,US,government procurement standard,A-A-59594A attempted DLA PDF URL,"sheet-size classes;ply;perforated/nonperforated formats;grammage/basis-weight minima","US institutional procurement specification",A2,STANDARDS_CONSTRAINT_NOT_BEHAVIOR,"US federal specification; initial local URL blocked; use successful official QuickSearch capture"
us_dla_aa59594a_quicksearch,US,government procurement standard,A-A-59594A dated 2011-06-01,"sheet-size classes;ply;perforated/nonperforated formats;grammage/basis-weight minima","US institutional procurement specification",A1,STANDARDS_CONSTRAINT_NOT_BEHAVIOR,"US federal work generally public domain; cite official QuickSearch record"
us_epa_cpg_paper,US,government environmental procurement guidance,US EPA CPG paper products,"postconsumer-fiber range;total recovered-fiber range for bathroom tissue","procurement product category",A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,"US federal page generally public domain; cite current page"
us_access_board_ada_ch6,US,government accessibility standard,2010 ADA Standards Chapter 6 section 604.7,"dispenser location;outlet height;delivery/continuous-flow constraints","accessible water-closet installation",A1,INSTALLATION_AND_DISPENSING_CONSTRAINT_ONLY,"US federal page generally public domain; cite current page"
eu_ecolabel_paper,EU,government environmental criteria portal,EU Ecolabel paper product group,"scope;criteria links;applicability to tissue paper and tissue products","EU environmental label product group",A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,"European Commission reuse policy applies; cite with attribution"
eu_decision_2019_70,EU,government environmental standard,Commission Decision (EU) 2019/70,"tissue-product scope;fiber sourcing;emissions;energy;hazardous substances;waste;fitness-for-use criteria","EU Ecolabel product group/eligible product",A1,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,"EU legal text; reuse subject to EUR-Lex notice; local direct capture incomplete"
eu_decision_2019_70_current,EU,government environmental standard,Consolidated Commission Decision (EU) 2019/70,"current consolidated ecolabel criteria and validity","EU Ecolabel product group/eligible product",A2,ENVIRONMENTAL_ATTRIBUTE_NOT_DIMENSION_OR_BEHAVIOR,"EU legal text; local direct capture HTTP-202/empty; cite official consolidated URL only"
eu_decision_2024_3179,EU,government environmental standard,Commission Decision (EU) 2024/3179,"extension of Decision (EU) 2019/70 validity through 2028-12-31","EU Ecolabel product-group validity",A1,STANDARDS_STATUS_ONLY,"EU legal text; local PDF capture HTTP-202/empty; cite official ELI HTML until a complete local snapshot is obtained"
iso_12625_6,International,test-method standard,ISO 12625-6 tissue paper grammage,"grammage determination method","laboratory specimen/test result",A2,TEST_METHOD_NOT_PRODUCT_REQUIREMENT,"ISO metadata may be cited; copyrighted standard text is not redistributable; local capture blocked"
iso_12625_4,International,test-method standard,ISO 12625-4 tensile properties,"tensile strength;stretch;energy absorption test methods","laboratory specimen/test result",A2,TEST_METHOD_NOT_PRODUCT_REQUIREMENT,"ISO metadata may be cited; copyrighted standard text is not redistributable; local capture blocked"
iso_12625_8,International,test-method standard,ISO 12625-8 water absorption,"water-absorption time and capacity basket-immersion method","laboratory specimen/test result",A2,TEST_METHOD_NOT_PRODUCT_REQUIREMENT,"ISO metadata may be cited; copyrighted standard text is not redistributable; local capture blocked"
iso_12625_12,International,test-method standard,ISO 12625-12 perforated-line tensile strength,"tensile strength of perforated lines;perforation efficiency","laboratory specimen/test result",A2,ENGINEERING_TEST_METHOD_NOT_BEHAVIOR,"ISO metadata may be cited; copyrighted standard text is not redistributable; local capture blocked"
jisc_reading_instructions,Japan,standards-body access guidance,JISC standards viewing instructions,"official access route and reuse/access conditions","standards-access mechanism",A1,ACCESS_METADATA_ONLY,"Public JISC page; Japanese standard text remains copyrighted"
jsa_jis_2026_catalog,Japan,official standards catalog,JSA 2026 catalog entry JIS P 4501:1993 + Amendment 1:2006,"current listing/version status","one national standard identifier",A1,STANDARDS_STATUS_ONLY,"Public catalog metadata; standard text remains copyrighted"
jis_p4501_secondary,Japan,secondary standard rendering,JIS P 4501:1993/AMD1:2006 secondary text,"roll-length set;roll-diameter maximum;roll form;marking;test methods;partially rendered dimensional table","one national standard; secondary text",C1,PROVISIONAL_STANDARDS_CONSTRAINT_NOT_BEHAVIOR,"Secondary copyrighted rendering; do not redistribute; verify dimensional clauses against official text before analysis"
china_ndls_gbt20810,China,official standards catalog,GB/T 20810-2018 / 20810-2018e,"current status;publication date;implementation date;title;language/version metadata","one national standard identifier",A1,STANDARDS_STATUS_ONLY,"Official catalog metadata; full standard may be licensed/copyrighted"
china_gbt20810_secondary,China,secondary standard preview,GB/T 20810-2018 commercial English preview,"scope/contents and limited clause preview where exposed","one national standard; secondary preview",C1,PROVISIONAL_STANDARDS_CONTENT_NOT_BEHAVIOR,"Commercial secondary rendering; cite only limited verified facts; do not redistribute"
india_is14661,India,legacy standards text mirror,IS 14661:1999 toilet paper specification,"grammage;minimum sheet width;minimum sheet area;quality/test requirements","one national standard edition",C1,LEGACY_STANDARDS_CONSTRAINT_NOT_BEHAVIOR,"Public mirror with uncertain copyright; do not redistribute; current 2025-series status/supersession must be verified"
fenner_sanitary_paper,Australia,empirical consumption study,Fenner Hall sanitary paper audit DOI 10.22459/AURJ.05.2013.19,"toilet-paper mass/resident/day and year;community totals;measurement period;population","507-student residential community over seven days",B1,AGGREGATE_CONSUMPTION_NO_WIDTH,"Cite DOI; verify article licence before redistributing full text"
biores_perforation,International/Portugal,peer-reviewed engineering study,Vieira et al. toilet-paper perforation efficiency,"ply;service length;perforation cut distance;perforation efficiency;laboratory-industrial comparison","eight commercial products and laboratory perforation specimens",B1,PERFORATION_ENGINEERING_NOT_CONSUMPTION,"Open journal PDF; confirm article licence before redistribution"
bangkok_quality_consumption,Thailand,peer-reviewed household study,Bangkok toilet-paper quality/consumption study,"rolls/month/household;rolls/month/person;quality factors","survey of 300 Bangkok families",B1,AGGREGATE_CONSUMPTION_NO_WIDTH,"Journal page publicly accessible; verify article licence before redistributing full text"
hanyu_recycling_consumption,Japan,peer-reviewed consumer survey,Hanyu et al. 2000 DOI 10.1016/S0921-3449(00)00060-4,"product evaluations;purchase/use of recycled versus virgin tissue;recycling attitudes","1242 survey respondents in Japan",B1,CHOICE_AND_ATTITUDES_NOT_QUANTITY_OR_WIDTH,"Publisher abstract citable; full text likely paywalled/nonredistributable"
bma_bathroom_diary,UK,industry-association diary study,Behind the Bathroom Door research overview,"sheets/visit by sex;share of visits using paper;visit counts;diary methodology","48 UK residents; seven-day online diary;404 toilet visits",B2,AGGREGATE_CONSUMPTION_NO_WIDTH,"Public association report; cite with sponsor/method limitations; verify before redistribution"
yuasa_measured_use,Japan,retailer original measurement report,Yuasa Paper Store staff-use measurement,"metres/use by sex;approximately 200 use records;monthly roll-use calculations under stated assumptions","approximately 200 toilet-use measurements among retailer employees",C1,AGGREGATE_CONSUMPTION_NO_WIDTH,"Copyrighted retailer blog; cite limited facts with methods caveat only"
pg_patent_us6458450,US,patent empirical disclosure,"US 6,458,450 B1","three widths;three total basis weights;sheets perceived necessary/task;total paper mass/task;diary and instrumented-roll methods discussed","two focus groups of eight women each; post-urinary drying task",C1,DIRECT_WIDTH_MANIPULATION_WEAK_BEHAVIORAL_EVIDENCE,"Patent text persistently public; Google page compilation terms apply; data are patent disclosure not peer-reviewed validation"
consumer_reports_shrinkage,US,consumer journalism,Consumer Reports toilet-paper shrinkage comparison,"sheet dimensions;sheet counts;current-versus-prior product comparisons;manufacturer statements","nine current products compared with prior versions",C1,DIMENSIONAL_CHANGE_CONTEXT_NOT_CONTROLLED_BEHAVIOR,"Copyrighted article; cite URL and limited factual summary only"
serla_p17148_spec,Continental Europe,secondary-hosted technical specification,Serla P17148,"sheet count;sheet length;width;roll diameter;core diameter;roll length;ply;grammage;net/gross mass;consumer-pack dimensions","one manufacturer product code on supplier-hosted sheet",C1,DIMENSIONAL_AND_MASS_OBSERVATION_ONLY,"Supplier-hosted manufacturer-form specification; provenance usable but do not redistribute without permission"
