value_id,value,unit,source_file,method,status,manuscript_location
logistics_baseline_length_mm,165.0,mm,config/scenarios.json,configured illustrative packed length,HYPOTHETICAL_SCENARIO,Results 3.5
logistics_mid_length_mm,132.0,mm,config/scenarios.json,configured illustrative packed length,HYPOTHETICAL_SCENARIO,Results 3.5
logistics_short_length_mm,115.5,mm,config/scenarios.json,configured illustrative packed length,HYPOTHETICAL_SCENARIO,Results 3.5
logistics_baseline_units_per_carton,360.0,units/carton,tables/table_5_logistics_integer_packing.csv,integer orientation packing,HYPOTHETICAL_SCENARIO,Abstract; Results 3.5
logistics_mid_units_per_carton,540.0,units/carton,tables/table_5_logistics_integer_packing.csv,integer orientation packing,HYPOTHETICAL_SCENARIO,Abstract; Results 3.5
logistics_short_units_per_carton,600.0,units/carton,tables/table_5_logistics_integer_packing.csv,integer orientation packing,HYPOTHETICAL_SCENARIO,Abstract; Results 3.5
logistics_mid_capacity_increase,0.5,fraction,tables/table_5_logistics_integer_packing.csv,mid-length capacity / baseline capacity - 1,HYPOTHETICAL_SCENARIO,Results 3.5
logistics_mid_length_reduction,0.19999999999999996,fraction,config/scenarios.json,1 - mid packed length / baseline packed length,HYPOTHETICAL_SCENARIO,Results 3.5
monte_carlo_seed,20260924.0,integer,config/scenarios.json,configured fixed seed,REPRODUCIBILITY_PARAMETER,Methods 2.7
monte_carlo_iterations,200000.0,draws,config/scenarios.json,configured draw count,REPRODUCIBILITY_PARAMETER,Methods 2.7
width_mc_mean,0.06359441981634716,fraction,tables/table_6_monte_carlo_summary.csv,mean of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
width_mc_median,0.06847625410010477,fraction,tables/table_6_monte_carlo_summary.csv,median of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
width_mc_p2_5,-0.03928201835230734,fraction,tables/table_6_monte_carlo_summary.csv,p2_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
width_mc_p97_5,0.14718504914521496,fraction,tables/table_6_monte_carlo_summary.csv,p97_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
width_mc_probability_positive,0.87883,fraction,tables/table_6_monte_carlo_summary.csv,probability_positive of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
perforation_mc_mean,0.14974262176984537,fraction,tables/table_6_monte_carlo_summary.csv,mean of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
perforation_mc_median,0.14187989952047575,fraction,tables/table_6_monte_carlo_summary.csv,median of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
perforation_mc_p2_5,0.01546527903405732,fraction,tables/table_6_monte_carlo_summary.csv,p2_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
perforation_mc_p97_5,0.32440664375929507,fraction,tables/table_6_monte_carlo_summary.csv,p97_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
perforation_mc_probability_positive,0.991755,fraction,tables/table_6_monte_carlo_summary.csv,probability_positive of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
straw_mc_mean,0.06830455810013879,fraction,tables/table_6_monte_carlo_summary.csv,mean of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
straw_mc_median,0.07770861424363351,fraction,tables/table_6_monte_carlo_summary.csv,median of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
straw_mc_p2_5,-0.06692657331564945,fraction,tables/table_6_monte_carlo_summary.csv,p2_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
straw_mc_p97_5,0.16521145544656018,fraction,tables/table_6_monte_carlo_summary.csv,p97_5 of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
straw_mc_probability_positive,0.832685,fraction,tables/table_6_monte_carlo_summary.csv,probability_positive of configured scenario distribution,HYPOTHETICAL_SCENARIO_SIMULATION,Results 3.6
