source_id,source_type,title,organization_or_authors,year,geography_or_market,url_or_doi,access_date,evidence_class,local_snapshot,scope_or_key_use,limitations
S11,peer-reviewed article,"In pursuit of environmentally friendly straws: a comparative life cycle assessment of five straw material options in South Africa","Chitaka, Russo, and von Blottnitz",2020,South Africa,https://doi.org/10.1007/s11367-020-01786-w,2026-09-24,peer-reviewed LCA,data/raw/straw_sources/chitaka_2020_publisher_page.txt,"PP/paper/PLA/glass/steel; annual-use functional unit; 18 ReCiPe categories; leakage/degradability scenario","Context-specific PP feedstock and imports; marine analysis is scenario-based; abstract-level extraction"
S12,UN synthesis,"Single-use plastic tableware and its alternatives — Recommendations from Life Cycle Assessments","UNEP / Life Cycle Initiative",2021,Multi-study,https://lifecycleinitiative.org/wp-content/uploads/2021/03/UNEP-D001-Tableware-Report_Lowres.pdf,2026-09-24,contextual meta-analysis,data/raw/straw_sources/unep_2021_tableware_official_fetch.txt,"Cross-product life-cycle lessons on manufacturing, reuse, washing, and end-of-life","Not straw-specific; should not be merged numerically with straw LCAs"
S13,peer-reviewed analytical study,"The last straw: Characterization of per- and polyfluoroalkyl substances in commercially-available plant-based drinking straws","Timshina et al.",2021,Commercial brands obtained by US researchers,https://doi.org/10.1016/j.chemosphere.2021.130238,2026-09-24,peer-reviewed measured,data/raw/straw_sources/timshina_2021_pfas_straws.pdf,"43 brands; 53 targeted PFAS; methanol extraction; UHPLC-MS/MS; water-leaching experiment","Convenience sample; no universal prevalence; detection does not prove intentional addition, health risk, or noncompliance"
S14,peer-reviewed analytical study,"Assessment of poly- and perfluoroalkyl substances (PFAS) in commercially available drinking straws using targeted and suspect screening approaches","Boisacq et al.",2023,Belgian market,https://doi.org/10.1080/19440049.2023.2240908,2026-09-24,peer-reviewed measured,data/raw/straw_sources/publisher_metadata_fetch_2026-09-24.txt,"39 brands; five materials; targeted plus suspect screening; material-specific detection counts","No migration experiment; market convenience sample; full method and concentration tables not locally available"
S15,peer-reviewed analytical study,"Occurrence and composition of PFAS in disposable straws from the Korean Market: quantitative and suspect screening analyses","Jeon et al.",2025,Korean market,https://doi.org/10.1007/s11356-025-37075-y,2026-09-24,publisher metadata plus provisional secondary detail,data/raw/straw_sources/ekn_2025_jeon_korea_summary.html,"64 samples and quantitative/suspect-screening results reported by a Korean secondary source","Primary full text was not retrieved; detailed counts and concentrations remain provisional; no migration or exposure-risk assessment"
S16,official current guidance,"Papir og pap — Fluorerede stoffer i FKM af papir og pap","Danish Veterinary and Food Administration",2026,Denmark,https://foedevarestyrelsen.dk/kost-og-foedevarer/foedevaresikkerhed/emballage-og-udstyr/materialetyper/papir-og-pap,2026-09-24,official current regulatory guidance,data/raw/straw_sources/current_regulatory_guidance_fetch_2026-09-24.txt,"Current Danish description of paper/board PFAS prohibition and 20 µg organic F/g indicator","Danish-language guidance; legal interpretation should rely on controlling Danish legislation"
S17,official legal translation,"Danish Order No. 681 of 25 May 2020 on Food Contact Materials","Danish Veterinary and Food Administration",2020,Denmark,https://en.foedevarestyrelsen.dk/Media/638204383156890144/Danish%20Order%20No%20681%20of%2025%20May%202020%20on%20Food%20Contact%20Materials.pdf,2026-09-24,official historical legal text/data snapshot,data/raw/straw_sources/denmark_order_681_2020_fcm.pdf,"Original 2020 paper/board PFAS prohibition and functional-barrier exception","The English text says the Danish version controls; current official guidance should be checked because later legislation may replace the order"
S18,EU regulation,"Regulation (EU) 2025/40 on packaging and packaging waste","European Union",2025,European Union,https://eur-lex.europa.eu/eli/reg/2025/40,2026-09-24,official current law,data/raw/straw_sources/official_regulatory_pages_fetch_2026-09-24.txt,"Article 5(5) food-contact-packaging PFAS concentration limits applicable from 12 August 2026","Scope is food-contact packaging; product classification and compliance require legal/technical assessment"
S19,EU guidance,"Commission Notice — Guidance document for Regulation (EU) 2025/40","European Commission",2026,European Union,https://eur-lex.europa.eu/legal-content/EN/TXT/?uri=OJ%3AC_202603084,2026-09-24,official current guidance,data/raw/straw_sources/current_regulatory_guidance_fetch_2026-09-24.txt,"PFAS limit enforcement; acknowledges no harmonised EU test method and recommends a stepwise approach","Guidance is interpretive; it does not replace the regulation"
S20,official US guidance,"Market Phase-Out of Grease-Proofing Substances Containing PFAS","US Food and Drug Administration",2026,United States,https://www.fda.gov/food/process-contaminants-food/market-phase-out-grease-proofing-substances-containing-pfas,2026-09-24,official current regulatory status,data/raw/straw_sources/official_regulatory_pages_fetch_2026-09-24.txt,"February 2024 market phase-out and January 2025 abandonment status","Concerns authorized grease-proofing uses in paper/paperboard; not a universal ban on all PFAS-containing food-contact articles"
S21,official notice,"Determination that 35 PFAS food-contact notifications are no longer effective","US Food and Drug Administration / Federal Register",2025,United States,https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-31703.pdf,2026-09-24,official legal notice,data/raw/straw_sources/federal_register_2025_31703_pfas_fcns.pdf,"Abandonment of 35 notifications for grease-proofing coatings","Does not establish that every paper straw is PFAS-free or noncompliant"
S22,EU directive,"Directive (EU) 2019/904 on single-use plastics","European Union",2019,European Union,https://eur-lex.europa.eu/eli/dir/2019/904/oj,2026-09-24,official law,data/raw/straw_sources/official_regulatory_pages_fetch_2026-09-24.txt,"Article 5 restriction on placing listed single-use plastic products including straws on the market; medical-device exception","Implementation and enforcement occur through Member States; scope definitions matter"
