variable_name,definition,unit,classification,allowed_values_or_formula,primary_source,notes
weight_gain_pct,Mass increase after liquid exposure,%,measured,100×(wet−dry)/dry,S03,"Not equivalent to liquid migration or user acceptability"
expected_additional_replacement_rate,Expected number of additional straws used per successful serving relative to one initial straw,rate,assumed/future measured,"[0,infinity)",none,"Primary Monte Carlo rebound parameter; not a probability"
independent_failure_probability,Independent probability that each straw attempt fails and another attempt is required,probability,assumed/future measured,"[0,1)",none,"Alternative geometric-attempt model used for analytical and one-way sensitivity"
shifted_container_burden,Container or package burden caused by the geometry change per successful serving normalized to baseline straw material mass,ratio,assumed/future measured,"[0,infinity)",none,"Added once per successful serving in both straw formulations"
acceptance_probability,Probability that a configuration is accepted and used successfully,probability,assumed/future measured,"[0,1]",none,"Define population and task"
carton_units,Number of straws in supplier outer carton,count,manufacturer-provided,positive integer,S04/S05/S06,"Huhtamaki: 2,500; Franz: 1,400; Baron: 28,000"
carton_external_volume_m3,Rectangular volume from outer-carton dimensions,m³,calculated,L×W×H,S04/S05/S06,"Not palletized or effective vehicle volume"
carton_gross_mass_kg,Gross shipped mass of outer carton,kg,manufacturer-provided,positive numeric,S04/S05,"Not supplied by Baron"
carton_net_mass_kg,Net product mass in outer carton,kg,manufacturer-provided,positive numeric,S04,"Interpretation should be checked against inner packaging"
packaged_volume_per_straw_cm3,Outer-carton rectangular volume divided by straw count,cm³/straw,calculated,10^6×carton_volume_m3/carton_units,S04/S05/S06,"A carton-level allocation, not actual individual wrapper volume"
functional_transport_density,Successful beverage servings per transport volume,successful servings/m³,calculated,"carton_units×success_probability/carton_volume_m3",project model,"Must account for replacement/failure and integer packing"
material_per_successful_serving_g,Accessory and attributable packaging mass per successful beverage serving,g/FU,calculated,"(straw+wrapper+attributable packaging)×expected units used",project model,"Report components separately"
pfas_total_ng_per_straw,Sum of quantified target PFAS per straw,ng/straw,measured,nonnegative numeric,S13,"Method- and target-list-dependent; nondetect handling must be documented"
pfas_total_ng_per_g,Sum of quantified target PFAS per material mass,ng/g,measured/provisional,nonnegative numeric,S15,"Not directly comparable with ng/straw without straw mass"
pfas_detection,Target or suspect PFAS detected above study criterion,boolean,measured,true/false,S13/S14/S15,"Detection is not intentional use, migration, exposure, or noncompliance"
gwp_kg_co2e_per_fu,Climate-change indicator per study functional unit,kg CO2-eq/FU,modelled,nonnegative numeric,S01/S09/S10/S11,"Never compare across studies without reconciling functional unit and boundary"
acidification_per_fu,Acidification indicator per study functional unit,study-specific,modelled,nonnegative numeric,S01/S09,"Units/methods differ across studies"
water_scarcity_m3_worldeq_per_fu,Water-scarcity indicator per study functional unit,m³ world-eq/FU,modelled,nonnegative numeric,S01,"Tetra Pak study only among quantified evidence extracted here"
evidence_class,Provenance category,text,metadata,"observed; measured; manufacturer-provided; standards-derived; calculated; inferred; assumed; hypothetical; missing",project rule,"Required for every optimization input"
