claim_id,manuscript_location,claim_text_short,reference_id,support_status,source_location,notes,action
C011,Methods 2.3,US6458450B1 reports limited width-and-use focus-group observations,us6458450,DIRECT,"US6458450B1 Table 2 and accompanying paragraph","Nine rows and focus-group context were re-transcribed from the patent","Retain with weak patent-evidence label"
C012,Methods 2.4,Partitionable-paper prior art establishes a feasible concept not performance,us20160345786,DIRECT,"US20160345786A1 abstract claims and description","The manuscript does not infer market effectiveness","Retain"
C013,Methods 2.5,Commercial straw selection depends on package and beverage configuration,tetra_systems,CONTEXT_ONLY,"Tetra Pak paper-based straws product page","Manufacturer page documents system options but is not independent comparative evidence","Retain as commercial-system context"
C014,Methods 2.5,ISO 18188 specifies polypropylene straw scope but no universal minimum length,iso18188,DIRECT,"ISO 18188:2016 scope and official ISO catalogue","The negative limitation is verified from the standard scope","Retain"
C015,Methods 2.5,Paper and plastic straws differ in wet mechanical performance,gutierrez2019,DIRECT,"BioResources 14(4):8345-8363 methods and results","Controlled product-specific testing supports the contextual statement","Retain without universalizing"
C016,Methods 2.5,Published straw comparisons use different systems and assumptions,tetra2019;zanghelini2020;moy2021;chitaka2020,REASONABLE_SYNTHESIS,"thinkstep report for Tetra Pak; J. Clean. Prod. 276:123070; Processes 9:1007; Int. J. Life Cycle Assess. 25:1818-1832","Cross-study comparison of scope functional unit geography and inventory","Retain; do not pool rankings"
C017,Methods 2.6,Packaging optimization must account for volume and system box design,wever2011;garciaarca2020,REASONABLE_SYNTHESIS,"Packag. Technol. Sci. 24:211-222; Sustainability 12:1870","The citations support packaging/system optimization context; the integer equation is the study's own","Retain"
C018,Results 3.1,US453003A predates later reduced-area and partitionable-sheet patents,us453003;us20160345786;wo2003026472,DIRECT,"Publication dates titles and descriptions in primary patent records","Chronology and identities were independently rechecked","Retain"
C019,Discussion 4.2,Material efficiency recognizes lightweighting yield and use strategies,allwood2011;allwood2013,REASONABLE_SYNTHESIS,"Resources, Conservation and Recycling 55:362-381; Philosophical Transactions of the Royal Society A 371:20120496","A high-level synthesis consistent with the source framing","Retain"
C020,Discussion 4.2,Eco-design treats geometry and material as interacting design choices,bovea2012;ardente2014,REASONABLE_SYNTHESIS,"J. Clean. Prod. papers cited above","The wording is interpretive and does not claim a quoted taxonomy","Retain"
C021,Discussion 4.3,Direct indirect and economy-wide rebound require different methods,castro2022;metic2022;lowe2024,REASONABLE_SYNTHESIS,"Rebound reviews cited above","The manuscript explicitly limits its boundary to direct material rebound and selected shifts","Retain"
C022,Discussion 4.6,Straw life-cycle rankings depend on functional unit and geography,tetra2019;zanghelini2020;moy2021;chitaka2020,REASONABLE_SYNTHESIS,"Four straw life-cycle studies/reports cited above","Verified by comparing study scope geography material and end-of-life assumptions","Retain"
C023,Discussion 4.6,Complete LCA requires goal scope inventory impact assessment and interpretation,iso14040;iso14044,DIRECT,"ISO 14040 framework; ISO 14044 requirements","The study correctly states that it is not a full LCA","Retain"
C024,Discussion 4.6,PFAS has been measured in selected commercially available straws,timshina2021;boisacq2023,DIRECT,"Chemosphere 277:130238; Food Addit. Contam. A 40:1230-1241","Both analytical studies measured selected market samples; neither supports universal prevalence","Retain with market/method caveat"
C025,Discussion 4.6,PFAS results vary by market year material and analytical method,timshina2021;boisacq2023,REASONABLE_SYNTHESIS,"Study samples methods target lists and reported detections","Comparison is qualitative and avoids pooled prevalence or risk inference","Retain"
