reference_id,reference_type,authors_or_corporate_author,title,year,source,volume,issue,pages_or_article_number,doi,patent_number,primary_verification_source,secondary_verification_source,verification_date,verification_status,notes
iso14044,international standard,International Organization for Standardization,ISO 14044:2006 Environmental management - Life cycle assessment - Requirements and guidelines,2006,ISO,,,,,,https://www.iso.org/standard/38498.html,,2026-09-24,VERIFIED_PRIMARY,Official ISO catalogue entry; full standard is copyright-restricted.
iso18188,international standard,International Organization for Standardization,ISO 18188:2016 Specification of polypropylene drinking straws,2016,ISO,,,,,,https://www.iso.org/standard/61726.html,https://cdn.standards.iteh.ai/samples/61726/3ede8ed7c91042edaf95570a82d77046/ISO-18188-2016.pdf,2026-09-24,VERIFIED_MULTIPLE,Official ISO catalogue plus saved public preview.
liedtke2014,journal article,"Liedtke, C.; Bienge, K.; Wiesen, K.; Teubler, J.; Greiff, K.; Lettenmeier, M.; Rohn, H.","Resource Use in the Production and Consumption System-The MIPS Approach",2014,Resources,3,3,544-574,10.3390/resources3030544,,https://api.crossref.org/works/10.3390%2Fresources3030544,https://doi.org/10.3390/resources3030544,2026-09-24,VERIFIED_MULTIPLE,Crossref and publisher metadata agree.
lowe2024,journal article,"Lowe, B.H.; Bimpizas-Pinis, M.; Zerbino, P.; Genovese, A.","Methods to estimate the circular economy rebound effect: a review",2024,Journal of Cleaner Production,443,,141063,10.1016/j.jclepro.2024.141063,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2024.141063,https://doi.org/10.1016/j.jclepro.2024.141063,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
metic2022,journal article,"Metic, J.; Pigosso, D.C.A.","Research avenues for uncovering the rebound effects of the circular economy: A systematic literature review",2022,Journal of Cleaner Production,368,,133133,10.1016/j.jclepro.2022.133133,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2022.133133,https://doi.org/10.1016/j.jclepro.2022.133133,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
moy2021,journal article,"Moy, C.-H.; Tan, L.-S.; Shoparwe, N.F.; Shariff, A.M.; Tan, J.","Comparative Study of a Life Cycle Assessment for Bio-Plastic Straws and Paper Straws: Malaysia's Perspective",2021,Processes,9,6,1007,10.3390/pr9061007,,https://api.crossref.org/works/10.3390%2Fpr9061007,https://doi.org/10.3390/pr9061007,2026-09-24,INCORRECT_REPAIRED,Previous configured title was an inaccurate abbreviation; replaced with the exact Crossref title.
tetra_systems,manufacturer webpage,Tetra Pak,Tetra Pak paper-based straws: sustainable solution for beverage packaging,n.d.,Tetra Pak,,,,,,https://www.tetrapak.com/solutions/packaging/openings-and-closures/straws,,2026-09-24,INCORRECT_REPAIRED,Updated title and canonical global URL from the live manufacturer page.
tetra2019,technical report,"thinkstep AG; prepared by Peter Shonfield; quality assurance by Sarah Boyd","LCA of plastic and paper straws for portion-sized carton packages",2019,Report prepared for Tetra Pak,,,v1.4,,,https://www.tetrapak.com/content/dam/tetrapak/publicweb/gb/en/sustainability/documents/LCA-paper-plastic-straws.pdf,data/raw/straw_sources/S01.pdf,2026-09-24,VERIFIED_PRIMARY,Title report version date client preparer and reviewer verified from the saved report title page.
timshina2021,journal article,"Timshina, A.; Aristizabal-Henao, J.J.; Da Silva, B.F.; Bowden, J.A.","The last straw: Characterization of per- and polyfluoroalkyl substances in commercially-available plant-based drinking straws",2021,Chemosphere,277,,130238,10.1016/j.chemosphere.2021.130238,,https://api.crossref.org/works/10.1016%2Fj.chemosphere.2021.130238,https://doi.org/10.1016/j.chemosphere.2021.130238,2026-09-24,INCORRECT_REPAIRED,Previous configured title differed materially; replaced with the exact Crossref title and full authors.
unep_cp,official guidance,United Nations Environment Programme,Introduction to Cleaner Production (CP) Concepts and Practice,n.d.,UNEP Division of Technology Industry and Economics,,,,,,https://www.un.org/esa/sustdev/sdissues/technology/cleanerproduction.pdf,,2026-09-24,INCORRECT_REPAIRED,The saved official PDF is an undated training document rather than the previously cited 1998 title.
epa_p2,legislation and agency guidance,United States Environmental Protection Agency,Pollution Prevention Act of 1990,1990,United States Environmental Protection Agency,,,,,,https://www.epa.gov/p2/pollution-prevention-act-1990,https://www.govinfo.gov/content/pkg/STATUTE-104/pdf/STATUTE-104-Pg1388.pdf,2026-09-24,VERIFIED_MULTIPLE,Agency page and enacted public-law text identify the statute.
vandervoet2004,journal article,"van der Voet, E.; van Oers, L.; Nikolic, I.","Dematerialization: not just a matter of weight",2004,Journal of Industrial Ecology,8,4,121-137,10.1162/1088198043630432,,https://api.crossref.org/works/10.1162%2F1088198043630432,https://doi.org/10.1162/1088198043630432,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
wever2011,journal article,"Wever, R.","Design for volume optimization of packaging for durable goods",2011,Packaging Technology and Science,24,4,211-222,10.1002/pts.927,,https://api.crossref.org/works/10.1002%2Fpts.927,https://doi.org/10.1002/pts.927,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher DOI record agree.
willskytt2021,journal article,"Willskytt, S.","Design of consumables in a resource-efficient economy-A literature review",2021,Sustainability,13,3,1036,10.3390/su13031036,,https://api.crossref.org/works/10.3390%2Fsu13031036,https://doi.org/10.3390/su13031036,2026-09-24,VERIFIED_MULTIPLE,Crossref and publisher metadata agree.
zanghelini2020,journal article,"Zanghelini, G.M.; Cherubini, E.; Dias, R.; Kabe, Y.H.O.; Delgado, J.J.S.","Comparative life cycle assessment of drinking straws in Brazil",2020,Journal of Cleaner Production,276,,123070,10.1016/j.jclepro.2020.123070,,https://api.crossref.org/works/10.1016%2Fj.jclepro.2020.123070,https://doi.org/10.1016/j.jclepro.2020.123070,2026-09-24,VERIFIED_MULTIPLE,Crossref metadata and publisher abstract record agree.
us453003,patent,"Hicks, O.H.",Toilet or wrapping paper,1891,United States Patent Office,,,,,US453003A,https://patents.google.com/patent/US453003A/en,data/raw/patents/snapshots/2026-09-24/US453003A.pdf,2026-09-24,INCORRECT_REPAIRED,Previous inventor and title attribution were incorrect; patent facsimile identifies Oliver Hewlett Hicks and Morgan Envelope Company.
wo2003026472,patent,"Friedrich, H.",Toilet paper,2003,World Intellectual Property Organization,,,,,WO2003026472A1,https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2003026472,data/raw/patents/snapshots/2026-09-24/WO2003026472A1.pdf,2026-09-24,INCORRECT_REPAIRED,Previous Kimberly-Clark attribution and title were incorrect; WIPO facsimile identifies Helmuth Friedrich as applicant and inventor.
us20160345786,patent,"Olson, S.R.; Hoadley, D.A.; Daul, T.A.",Partitionable paper towel,2016,United States Patent and Trademark Office,,,,,US20160345786A1,https://patents.google.com/patent/US20160345786A1/en,data/raw/patents/snapshots/2026-09-24/US20160345786A1.pdf,2026-09-24,INCORRECT_REPAIRED,Previous Kimberly-Clark attribution and title were incorrect; application facsimile identifies Georgia-Pacific Consumer Products LP.
us6458450,patent,"Steinhardt, M.J.; Tafuri, M.W. Jr.; Weisman, P.T.; Hoerner, T.; Maier, B.; Trokhan, P.D.; Vinson, K.D.",Tissue paper,2002,United States Patent and Trademark Office,,,,,US6458450B1,https://patents.google.com/patent/US6458450B1/en,data/raw/patents/snapshots/2026-09-24/US6458450B1.pdf,2026-09-24,INCORRECT_REPAIRED,Previous title omitted the exact patent identity; inventor and assignee metadata were expanded from the patent facsimile.
