identifier,database,source_url,acquired_utc,retrieval_method,retrieval_status,local_file,file_size_bytes,sha256,usage_conditions,notes
"US8221864B2","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=8221864B2&KC=B2&FT=D","2026-09-24T06:28:46Z","curl","failed_empty_response","US8221864B2.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"US8221864B2","Google Patents","https://patents.google.com/patent/US8221864B2/en","2026-09-24T06:27:09Z","curl","success","US8221864B2.google.html","151942","1e678b6b7ae7301e779041e57acccaecb643a4609cf04a6af5e5e0ec8e56180c","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US8741410B2","Google Patents","https://patents.google.com/patent/US8741410B2/en","2026-09-24T06:33:42Z","curl","success","US8741410B2.google.html","512456","988c5bb55e710a7e00377acaa3ff3ff4f0fc064933661dfea60f44385876bfc7","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US8757058B2","Google Patents","https://patents.google.com/patent/US8757058B2/en","2026-09-24T06:30:31Z","curl","success","US8757058B2.google.html","525212","f16f2dd15232b65023e01217bbc2b305370f2331f58884e78a62303431df2a35","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US9918595B2","Google Patents","https://patents.google.com/patent/US9918595B2/en","2026-09-24T06:30:30Z","curl","success","US9918595B2.google.html","363617","297d4910a8885a8fbad9da09f7b406d21503bd09f3da6ebf315f4a4de256de2d","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"US9918596B2","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=US&NR=9918596B2&KC=B2&FT=D","2026-09-24T06:28:45Z","curl","failed_empty_response","US9918596B2.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"US9918596B2","Google Patents","https://patents.google.com/patent/US9918596B2/en","2026-09-24T06:27:08Z","curl","success","US9918596B2.google.html","466095","8650edc3389f14002a230eecd1e204de2eefd552a42cff42632203c5b2922ab1","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2003026472","EPO OPS","https://ops.epo.org/3.2/rest-services/published-data/publication/epodoc/WO2003026472/biblio","2026-09-24T06:28:30Z","curl","failed_http_403","WO2003026472.epo_ops.xml","208","f612f5525f28323ab87368c6288198ef2fc44a66aa46fa07870e877b3ab3a7ab","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","AnonymousQuotaPerDay response; no bibliographic content."
"WO2003026472","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2003026472","2026-09-24T06:28:40Z","curl","failed_http_403","WO2003026472.wipo.html","8020","6a641768ce69ffc1db2de676c610e2042f9250cebf376b9e87d28307595e6c77","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Saved error response; bibliographic record was instead verified interactively in Chrome where noted in the report."
"WO2003026472","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2003026472","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2003026472.wipo.screenshot.png","496145","1aa2b593afb4a24853970e47ad0c17bfe2893e047a02ce058c824a77a5c421ee","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2003026472A1","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=03026472A1&KC=A1&FT=D","2026-09-24T06:28:43Z","curl","failed_empty_response","WO2003026472A1.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"WO2003026472A1","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=03026472A1&KC=A1&FT=D","2026-09-24T06:34:02Z","Chrome browser screenshot","blocked_security_challenge","WO2003026472A1.espacenet.security-check.png","537003","7cdd50e126b57b7959bba96fe97ab072b41252c1213965fc770fe2df90d8b4d2","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Cloudflare human-verification page; no bibliographic content."
"WO2003026472A1","Google Patents","https://patents.google.com/patent/WO2003026472A1/en","2026-09-24T06:27:08Z","curl","success","WO2003026472A1.google.html","174567","d6de5d72b9a9c6f7e0e31e8db84824e0a420360c1fa8a69ce497ed7b716865b4","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2010076689","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010076689","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2010076689.wipo.screenshot.png","741300","716465f5dabe364c16ead2b7d7b8a819baf02f99d1b57f416fad719c71054867","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2010076689A1","Google Patents","https://patents.google.com/patent/WO2010076689A1/en","2026-09-24T06:27:10Z","curl","success","WO2010076689A1.google.html","175946","09b37c33b0045341f0017a992b6384b9eedadf49c20f5449908b22414868dab7","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2010109404","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010109404","2026-09-24T06:28:42Z","curl","failed_http_403","WO2010109404.wipo.html","8020","09cd87ac9adb2f3cf83315815488fcf4271fb1d7fab884b5f1c4f8638b0d2d8d","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Saved error response; bibliographic record was instead verified interactively in Chrome where noted in the report."
"WO2010109404","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2010109404","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2010109404.wipo.screenshot.png","691573","b9516b05fc24055edcb8577fd7f7c08d4038a4edfb1bb90ca8ffc58b6479fc14","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2010109404A2","Google Patents","https://patents.google.com/patent/WO2010109404A2/en","2026-09-24T06:32:29Z","curl","success","WO2010109404A2.google.html","123744","487bff5d574156874c8c03add2a7df41b91eb19c44dd14c831f4502c49948b0b","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2015112867","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015112867","2026-09-24T06:28:42Z","curl","failed_http_403","WO2015112867.wipo.html","8020","a2ee29334a197576fb9a47263836e417eaa320e220e4dde4694a20c4d72150bc","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Saved error response; bibliographic record was instead verified interactively in Chrome where noted in the report."
"WO2015112867","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2015112867","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2015112867.wipo.screenshot.png","681543","33234b01beaa9297aafabb95a4e5ba37db2906af3bb2c016c305e5dae65c6002","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2015112867A1","Espacenet","https://worldwide.espacenet.com/publicationDetails/biblio?CC=WO&NR=2015112867A1&KC=A1&FT=D","2026-09-24T06:28:45Z","curl","failed_empty_response","WO2015112867A1.espacenet.html","1","cdb4ee2aea69cc6a83331bbe96dc2caa9a299d21329efb0336fc02a82e1839a8","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","One-byte command-line response; no bibliographic content."
"WO2015112867A1","Google Patents","https://patents.google.com/patent/WO2015112867A1/en","2026-09-24T06:32:29Z","curl","success","WO2015112867A1.google.html","183080","fde5d0a24620795ad60875d105bc6009da6e14de9aaa797896b3a82acecce9f6","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2016191420","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016191420","2026-09-24T06:28:40Z","curl","failed_http_403","WO2016191420.wipo.html","8020","61ab5b42c6c94770ca006880ae1096d5a6ff85238318471be0e6a3b189deda59","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Saved error response; bibliographic record was instead verified interactively in Chrome where noted in the report."
"WO2016191420","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2016191420","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2016191420.wipo.screenshot.png","737568","0c088477089e2ddbb7133abeb50e762a6354471c935977b1ed8de97edd5faaa1","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2016191420A1","Google Patents","https://patents.google.com/patent/WO2016191420A1/en","2026-09-24T06:32:30Z","curl","success","WO2016191420A1.google.html","271425","1a61de5206c62b76e0935f7c5fe3c4db0ee48487935e0ff5c08828e162b42750","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2021222474","Google Patents","https://patents.google.com/patent/WO2021222474/en","2026-09-24T06:32:52Z","curl","success","WO2021222474.google.html","154073","70bfbc31ee05c4903ab6f2e8509263d4ea3de4f96fc43cd04b92bd0462fe139b","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2021222474","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021222474","2026-09-24T06:28:41Z","curl","failed_http_403","WO2021222474.wipo.html","8020","009af9e36b90f7a192b2721e1ce0a2c62a56469835e16745798c6cf0a10e552b","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","Saved error response; bibliographic record was instead verified interactively in Chrome where noted in the report."
"WO2021222474","WIPO PATENTSCOPE","https://patentscope.wipo.int/search/en/detail.jsf?docId=WO2021222474","2026-09-24T06:32:12Z","Chrome browser screenshot","success","WO2021222474.wipo.screenshot.png","739253","ff12beda65b48200cd98dc3923f65ccc015c7f5e1294d63962bce6078dda8611","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2021222474A2","Google Patents","https://patents.google.com/patent/WO2021222474A2/en","2026-09-24T06:32:51Z","curl","success","WO2021222474A2.google.html","154073","70bfbc31ee05c4903ab6f2e8509263d4ea3de4f96fc43cd04b92bd0462fe139b","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2021222474A3","Google Patents","https://patents.google.com/patent/WO2021222474A3/en","2026-09-24T06:32:51Z","curl","success","WO2021222474A3.google.html","69767","9d572f0371a926c18657ab800731f719976942b6cdaf8cc3f41f256253b764f3","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.",""
"WO2003026472","EPO OPS","https://ops.epo.org/3.2/rest-services/published-data/publication/epodoc/WO2003026472/biblio","2026-09-24T06:28:30Z","curl","failed_http_403","epo_ops_headers.txt","575","0fc3713e45ca376f9712c11ed594f0fc7826fcb2a32aafac0b3340ed5d4f5337","Public patent record; database terms apply; bibliographic/status fields are not legal conclusions.","HTTP headers documenting AnonymousQuotaPerDay."
"US453003A","Google Patents","https://patents.google.com/patent/US453003A/en","2026-09-24T13:03:48Z","curl","success","data/raw/patents/snapshots/2026-09-24/US453003A.google.html","85682","cdc45a53ad51c5fc0fd31534e82be269d4382905a039eacf67cc7209f63c85a7","Public patent record; Google Patents terms apply; legal-status fields are not legal conclusions.","Post-audit reacquisition; full HTML retained locally and excluded from the public Git repository."
"US453003A","Google Patent Images","https://patentimages.storage.googleapis.com/13/7c/d1/3f1f44beaa6eaf/US453003.pdf","2026-09-24T13:04:34Z","curl","success","data/raw/patents/snapshots/2026-09-24/US453003A.google.pdf","160293","e522697b5637940a63c943b1d0e79f08b1ed6e4d7ebcb263d28699a256399c35","Public patent facsimile; source terms apply.","Cover and specification verify Oliver Hewlett Hicks and assignment to Morgan Envelope Company."
"WO2003026472A1","Google Patents","https://patents.google.com/patent/WO2003026472A1/en","2026-09-24T13:03:48Z","curl","success","data/raw/patents/snapshots/2026-09-24/WO2003026472A1.google.html","174567","d6de5d72b9a9c6f7e0e31e8db84824e0a420360c1fa8a69ce497ed7b716865b4","Public patent record; Google Patents terms apply; legal-status fields are not legal conclusions.","Post-audit reacquisition; full HTML retained locally and excluded from the public Git repository."
"WO2003026472A1","Google Patent Images / WIPO facsimile","https://patentimages.storage.googleapis.com/1c/8b/60/eda0cb8e9042b4/WO2003026472A1.pdf","2026-09-24T13:04:15Z","curl","success","data/raw/patents/snapshots/2026-09-24/WO2003026472A1.google.pdf","1172809","48fd6cf5113b82808d27a224aaa4ef29c46562f065f93db67e19619231534ceb","Public WIPO patent facsimile; source terms apply.","Cover identifies Helmuth Friedrich as both applicant and inventor."
"US20160345786A1","Google Patents","https://patents.google.com/patent/US20160345786A1/en","2026-09-24T13:03:49Z","curl","success","data/raw/patents/snapshots/2026-09-24/US20160345786A1.google.html","373577","ed27ce9fa87744feed68761bd08b0ed1b56cc2c1cc5a38b6b62d90f4249c0029","Public patent record; Google Patents terms apply; legal-status fields are not legal conclusions.","Post-audit reacquisition; full HTML retained locally and excluded from the public Git repository."
"US20160345786A1","Google Patent Images / USPTO facsimile","https://patentimages.storage.googleapis.com/e1/7d/d3/393627371cd503/US20160345786A1.pdf","2026-09-24T13:04:34Z","curl","success","data/raw/patents/snapshots/2026-09-24/US20160345786A1.google.pdf","1342720","830c6a1792a23eb1b5e55da0b054c2df9c746e89290dd01760b95ac3de045e16","Public US patent-publication facsimile; source terms apply.","Front page verifies title, applicants, inventors, application number, and publication date."
"US6458450B1","Google Patents","https://patents.google.com/patent/US6458450B1/en","2026-09-24T13:03:49Z","curl","success","data/raw/patents/snapshots/2026-09-24/US6458450B1.google.html","317644","5205d7784e3a825b6ad58778c20c804a8d294627e5a74cea35e57db8c281b330","Public patent record; Google Patents terms apply; legal-status fields are not legal conclusions.","Post-audit reacquisition; full HTML retained locally and excluded from the public Git repository."
"US6458450B1","Google Patent Images / USPTO facsimile","https://patentimages.storage.googleapis.com/f4/20/b0/8e5b8eb7b0e07a/US6458450.pdf","2026-09-24T13:04:35Z","curl","success","data/raw/patents/snapshots/2026-09-24/US6458450B1.google.pdf","1413930","ea2d03c0ad46b4548a4d64fcf52502d79936c8c0a483ec2a5b0dc93a60d9c587","Public US patent facsimile; source terms apply.","Front page and Table 2 verify Procter & Gamble ownership, participant context, and all nine source rows."
