source_id	url	source_type	redistribution_note
eu_decision_2019_70_current	https://eur-lex.europa.eu/legal-content/EN/TXT/HTML/?uri=CELEX:02019D0070-20241220	government_html	EU consolidated legal text; reuse subject to EUR-Lex notice
eu_decision_2024_3179	https://eur-lex.europa.eu/eli/dec/2024/3179/oj/eng/pdf	government_pdf	EU legal text; attempted PDF capture was empty, so use the official ELI HTML citation until a complete snapshot is obtained
iso_12625_6	https://www.iso.org/standard/66472.html	standards_metadata_html	ISO page metadata may be cited; standard text is copyrighted and not redistributable
iso_12625_4	https://www.iso.org/standard/80328.html	standards_metadata_html	ISO page metadata may be cited; standard text is copyrighted and not redistributable
iso_12625_8	https://www.iso.org/standard/53425.html	standards_metadata_html	ISO page metadata may be cited; standard text is copyrighted and not redistributable
iso_12625_12	https://www.iso.org/standard/83277.html	standards_metadata_html	ISO page metadata may be cited; standard text is copyrighted and not redistributable
jisc_reading_instructions	https://www.jisc.go.jp/jis-act/reading.html	standards_body_html	JISC public page; standard PDF text remains copyrighted and should not be redistributed
jsa_jis_2026_catalog	https://webdesk.jsa.or.jp/link/lib/jis2026/index/319176.pdf	standards_catalog_pdf	JSA catalog is public metadata; standard text remains copyrighted and should not be redistributed
jis_p4501_secondary	https://kikakurui.com/p/P4501-2006-01.html	standards_secondary_html	Secondary rendering of JIS text; use provisionally and do not redistribute
china_ndls_gbt20810	https://www.ndls.org.cn/standard/detail/a459a2fe870c292f3ce60ec17c83398d	standards_catalog_html	Official catalog metadata; full standard may be licensed/copyrighted
china_gbt20810_secondary	https://www.chinesestandard.net/PDF.aspx/GBT20810-2018	standards_secondary_html	Commercial secondary rendering; cite only limited clause summary and do not redistribute
india_is14661	https://law.resource.org/pub/in/bis/S02/is.14661.1999.pdf	standards_pdf	Publicly downloadable mirror; copyright/legal reuse uncertain, do not redistribute
fenner_sanitary_paper	https://doi.org/10.22459/aurj.05.2013.19	peer_reviewed_html	Cite DOI; verify article license before redistributing full text
biores_perforation	https://bioresources.cnr.ncsu.edu/wp-content/uploads/2021/11/BioRes_17_1_492_Vieira_VMCFC_Toilet_Paper_Perforation_Efficiency_19308.pdf	peer_reviewed_pdf	Open journal PDF; confirm article license on PDF before redistribution
bangkok_quality_consumption	https://so04.tci-thaijo.org/index.php/kjss/article/view/243981	peer_reviewed_html	Journal page publicly accessible; verify article license before redistributing full text
hanyu_recycling_consumption	https://doi.org/10.1016/S0921-3449(00)00060-4	peer_reviewed_abstract	Publisher abstract is citable; full text likely paywalled/nonredistributable
bma_bathroom_diary	https://bathroom-association.org.uk/wp-content/uploads/2024/05/BMA-Behind-the-Bathroom-Door-Research-Overview.pdf	industry_association_pdf	Public association report; cite with methodology limitations and verify before redistribution
yuasa_measured_use	https://yuasakamiten.com/blogs/iseecolumn/toiletpaper-1roll-howmanydays	retailer_blog_html	Copyrighted retailer blog reporting original staff measurements; cite limited facts only
pg_patent_us6458450	https://patents.google.com/patent/US6458450B1/en	patent_html	Patent text is persistently public; Google page compilation terms apply
consumer_reports_shrinkage	https://www.consumerreports.org/cro/magazine/2015/08/the-dirty-little-secrets-of-toilet-paper/index.htm	journalism_html	Copyrighted article; cite URL and limited factual summary only
serla_p17148_spec	https://easystar.ee/wp-content/uploads/2024/05/P17148.pdf	technical_sheet_pdf	Public supplier-hosted specification; manufacturer provenance indicated, but host is secondary; do not redistribute without permission
